cat,都道府県,マスター件数,実数統計,カバー率
fresh_food,山口県,49,567,0.086
fresh_food,徳島県,49,244,0.201
fresh_food,香川県,75,281,0.267
fresh_food,愛媛県,54,470,0.115
fresh_food,高知県,46,405,0.114
fresh_food,福岡県,327,2166,0.151
fresh_food,佐賀県,47,361,0.130
fresh_food,長崎県,79,687,0.115
fresh_food,熊本県,115,775,0.148
fresh_food,大分県,101,510,0.198
fresh_food,宮崎県,81,427,0.190
fresh_food,鹿児島県,131,714,0.183
fresh_food,沖縄県,94,481,0.195
