市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C,圏外率_変種C,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A
04214,東松島市,11482,6782,0.5907,9761,3661,0.3188,0.2627,3044.0,0.445
39206,須崎市,8294,4854,0.5852,7787,4230,0.51,0.263,2198.0,0.449
04207,名取市,19113,11087,0.5801,15848,4778,0.25,0.2264,4048.0,0.39
39205,土佐市,8773,5027,0.573,7689,3090,0.3522,0.1855,1755.0,0.324
04323,柴田町,11096,6195,0.5583,9116,2570,0.2316,0.2327,2567.0,0.417
39302,奈半利町,1390,775,0.5576,1390,416,0.2993,0.3658,519.0,0.656
04404,七ヶ浜町,5318,2941,0.553,4844,1886,0.3546,0.2545,1436.0,0.46
04202,石巻市,46407,25550,0.5506,37375,14770,0.3183,0.2411,11213.0,0.438
04401,松島町,5170,2822,0.5458,4787,1541,0.2981,0.2977,1552.0,0.545
04321,大河原町,6352,2979,0.469,5409,1050,0.1653,0.2221,1448.0,0.474
04203,塩竈市,18149,7634,0.4206,14833,1553,0.0856,0.261,4614.0,0.62
04211,岩沼市,11514,4747,0.4123,10350,2309,0.2005,0.1994,2344.0,0.484
04216,富谷市,10790,4071,0.3773,8700,1724,0.1598,0.233,2597.0,0.618
04100,仙台市,255567,90813,0.3553,182848,31011,0.1213,0.2791,71785.0,0.785
39201,高知市,95808,33846,0.3533,66906,15413,0.1609,0.2081,19955.0,0.589
04209,多賀城市,15566,4957,0.3185,12329,1462,0.0939,0.2527,3914.0,0.793
