店舗集合,圏外65歳以上人口,総65歳以上人口,圏外率,前段からの削減人数
S1_supermarketのみ,916991,1101938,0.8322,
S2_+convenience,734638,1101938,0.6667,182353
S3_+drugstore,721814,1101938,0.655,12824
S4_全カテゴリ,685685,1101938,0.6223,36129
