市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C,圏外率_変種C,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A
04205,気仙沼市,22916,14870,0.6489,20174,11250,0.4909,0.2876,6741.0,0.443
39401,中土佐町,2848,1797,0.631,1907,1382,0.4853,0.2755,798.0,0.437
04215,大崎市,38697,24351,0.6293,34047,16877,0.4361,0.2492,9654.0,0.396
39212,香美市,10198,6374,0.625,8351,5131,0.5031,0.325,3290.0,0.52
39363,土佐町,1735,1058,0.6098,1066,953,0.5493,0.2306,415.0,0.378
32201,松江市,58699,34765,0.5923,46716,22391,0.3815,0.2661,15831.0,0.449
04214,東松島市,11482,6795,0.5918,9812,3716,0.3236,0.2627,3044.0,0.444
04207,名取市,19113,10684,0.559,15469,4799,0.2511,0.2264,4048.0,0.405
04404,七ヶ浜町,5318,2941,0.553,4844,1886,0.3546,0.2545,1436.0,0.46
04401,松島町,5170,2822,0.5458,4787,1484,0.287,0.2977,1552.0,0.545
04202,石巻市,46407,24798,0.5344,37260,14617,0.315,0.2411,11213.0,0.451
04323,柴田町,11096,5870,0.529,9116,2536,0.2286,0.2327,2567.0,0.44
04321,大河原町,6352,3034,0.4776,5464,1050,0.1653,0.2221,1448.0,0.465
04216,富谷市,10790,5029,0.4661,8860,1773,0.1643,0.233,2597.0,0.5
04203,塩竈市,18149,8271,0.4557,15113,1758,0.0969,0.261,4614.0,0.573
39201,高知市,95808,41619,0.4344,69808,22139,0.2311,0.2081,19955.0,0.479
04211,岩沼市,11514,4776,0.4148,10160,2395,0.208,0.1994,2344.0,0.481
04100,仙台市,255567,93880,0.3673,183192,32003,0.1252,0.2791,71785.0,0.76
04209,多賀城市,15566,4480,0.2878,12763,1038,0.0667,0.2527,3914.0,0.878
