cat,都道府県,ATP件数,実数統計,ATP率,マスター件数,マスター率
fresh_food,秋田県,0,391,0.0,204,52.174
fresh_food,群馬県,0,508,0.0,138,27.165
fresh_food,茨城県,0,807,0.0,186,23.048
fresh_food,長崎県,0,687,0.0,79,11.499
fresh_food,長野県,0,571,0.0,159,27.846
fresh_food,青森県,0,502,0.0,179,35.657
fresh_food,静岡県,0,1121,0.0,345,30.776
fresh_food,香川県,0,281,0.0,75,26.69
fresh_food,高知県,0,405,0.0,46,11.358
fresh_food,鳥取県,0,145,0.0,32,22.069
fresh_food,鹿児島県,0,714,0.0,131,18.347
supermarket,三重県,134,338,39.645,453,134.024
supermarket,京都府,134,464,28.879,736,158.621
supermarket,佐賀県,70,179,39.106,214,119.553
supermarket,兵庫県,364,940,38.723,1205,128.191
supermarket,北海道,727,1023,71.065,1391,135.973
supermarket,千葉県,538,846,63.593,1316,155.556
supermarket,和歌山県,75,246,30.488,314,127.642
supermarket,埼玉県,713,907,78.611,1462,161.191
supermarket,大分県,63,282,22.34,343,121.631
supermarket,大阪府,626,1178,53.141,1817,154.244
supermarket,奈良県,105,213,49.296,318,149.296
supermarket,宮城県,175,401,43.641,604,150.623
supermarket,宮崎県,67,315,21.27,311,98.73
supermarket,富山県,36,201,17.91,239,118.905
supermarket,山口県,98,315,31.111,325,103.175
supermarket,山形県,68,270,25.185,359,132.963
supermarket,山梨県,46,181,25.414,242,133.702
supermarket,岐阜県,144,411,35.036,490,119.221
supermarket,岡山県,115,463,24.838,454,98.056
supermarket,岩手県,114,337,33.828,344,102.077
supermarket,島根県,34,273,12.454,223,81.685
supermarket,広島県,162,601,26.955,663,110.316
supermarket,徳島県,57,203,28.079,198,97.537
supermarket,愛媛県,118,356,33.146,330,92.697
supermarket,愛知県,298,917,32.497,1437,156.707
supermarket,新潟県,160,490,32.653,574,117.143
supermarket,東京都,1977,2063,95.831,3759,182.21
supermarket,栃木県,139,361,38.504,474,131.302
supermarket,沖縄県,145,437,33.181,536,122.654
supermarket,滋賀県,151,206,73.301,300,145.631
supermarket,熊本県,136,414,32.85,443,107.005
supermarket,石川県,51,218,23.394,300,137.615
supermarket,神奈川県,844,1257,67.144,1912,152.108
supermarket,福井県,40,189,21.164,203,107.407
supermarket,福岡県,394,653,60.337,1289,197.397
supermarket,福島県,130,388,33.505,426,109.794
supermarket,秋田県,56,253,22.134,262,103.557
supermarket,群馬県,112,342,32.749,476,139.181
supermarket,茨城県,238,510,46.667,662,129.804
supermarket,長崎県,85,399,21.303,337,84.461
supermarket,長野県,115,383,30.026,547,142.82
supermarket,青森県,107,364,29.396,293,80.495
supermarket,静岡県,240,533,45.028,1017,190.807
supermarket,香川県,112,223,50.224,272,121.973
supermarket,高知県,35,238,14.706,198,83.193
supermarket,鳥取県,25,154,16.234,139,90.26
supermarket,鹿児島県,56,443,12.641,431,97.291
