cat,都道府県,マスター件数,ATP件数,ATP純増,投入後件数,実数統計,カバー率_現行,カバー率_ATP単独,カバー率_投入後
drugstore,岩手県,102,93,76,178,237,0.430,0.392,0.751
drugstore,島根県,61,97,37,98,82,0.744,1.183,1.195
drugstore,広島県,139,321,194,333,324,0.429,0.991,1.028
drugstore,徳島県,55,36,14,69,87,0.632,0.414,0.793
drugstore,愛媛県,107,149,67,174,253,0.423,0.589,0.688
drugstore,愛知県,406,292,194,600,1189,0.341,0.246,0.505
drugstore,新潟県,100,159,114,214,368,0.272,0.432,0.582
drugstore,東京都,935,1247,554,1489,1900,0.492,0.656,0.784
drugstore,栃木県,121,102,83,204,319,0.379,0.320,0.639
drugstore,沖縄県,34,97,75,109,72,0.472,1.347,1.514
drugstore,滋賀県,84,79,64,148,228,0.368,0.346,0.649
drugstore,熊本県,65,51,34,99,175,0.371,0.291,0.566
drugstore,石川県,124,22,17,141,251,0.494,0.088,0.562
drugstore,神奈川県,538,358,159,697,1175,0.458,0.305,0.593
drugstore,福井県,113,5,2,115,169,0.669,0.030,0.680
drugstore,福岡県,369,266,122,491,612,0.603,0.435,0.802
drugstore,福島県,104,145,117,221,257,0.405,0.564,0.860
drugstore,秋田県,84,89,66,150,154,0.545,0.578,0.974
drugstore,群馬県,143,63,40,183,333,0.429,0.189,0.550
drugstore,茨城県,147,101,84,231,438,0.336,0.231,0.527
drugstore,長崎県,68,52,30,98,129,0.527,0.403,0.760
drugstore,長野県,90,167,140,230,252,0.357,0.663,0.913
drugstore,青森県,120,74,60,180,198,0.606,0.374,0.909
drugstore,静岡県,303,171,80,383,551,0.550,0.310,0.695
drugstore,香川県,74,63,27,101,133,0.556,0.474,0.759
drugstore,高知県,37,64,41,78,99,0.374,0.646,0.788
drugstore,鳥取県,42,72,46,88,79,0.532,0.911,1.114
drugstore,鹿児島県,44,101,81,125,203,0.217,0.498,0.616
fresh_food,三重県,160,0,0,160,530,0.302,0.000,0.302
fresh_food,京都府,259,0,0,259,736,0.352,0.000,0.352
fresh_food,佐賀県,47,0,0,47,361,0.130,0.000,0.130
fresh_food,兵庫県,525,0,0,525,1331,0.394,0.000,0.394
fresh_food,北海道,348,0,0,348,1444,0.241,0.000,0.241
fresh_food,千葉県,344,0,0,344,1161,0.296,0.000,0.296
fresh_food,和歌山県,155,0,0,155,407,0.381,0.000,0.381
fresh_food,埼玉県,332,0,0,332,1155,0.287,0.000,0.287
fresh_food,大分県,101,0,0,101,510,0.198,0.000,0.198
fresh_food,大阪府,615,0,0,615,1872,0.329,0.000,0.329
fresh_food,奈良県,90,0,0,90,323,0.279,0.000,0.279
fresh_food,宮城県,622,0,0,622,646,0.963,0.000,0.963
fresh_food,宮崎県,81,0,0,81,427,0.190,0.000,0.190
fresh_food,富山県,86,0,0,86,422,0.204,0.000,0.204
fresh_food,山口県,49,0,0,49,567,0.086,0.000,0.086
fresh_food,山形県,382,0,0,382,549,0.696,0.000,0.696
fresh_food,山梨県,74,0,0,74,330,0.224,0.000,0.224
fresh_food,岐阜県,95,0,0,95,423,0.225,0.000,0.225
fresh_food,岡山県,167,0,0,167,523,0.319,0.000,0.319
fresh_food,岩手県,111,0,0,111,428,0.259,0.000,0.259
fresh_food,島根県,71,0,0,71,238,0.298,0.000,0.298
fresh_food,広島県,119,0,0,119,673,0.177,0.000,0.177
fresh_food,徳島県,49,0,0,49,244,0.201,0.000,0.201
fresh_food,愛媛県,54,0,0,54,470,0.115,0.000,0.115
fresh_food,愛知県,332,0,0,332,1202,0.276,0.000,0.276
fresh_food,新潟県,180,0,0,180,688,0.262,0.000,0.262
fresh_food,東京都,1274,0,0,1274,2800,0.455,0.000,0.455
fresh_food,栃木県,151,0,0,151,517,0.292,0.000,0.292
fresh_food,沖縄県,94,0,0,94,481,0.195,0.000,0.195
fresh_food,滋賀県,146,0,0,146,308,0.474,0.000,0.474
fresh_food,熊本県,115,0,0,115,775,0.148,0.000,0.148
fresh_food,石川県,69,0,0,69,373,0.185,0.000,0.185
fresh_food,神奈川県,637,0,0,637,1807,0.353,0.000,0.353
fresh_food,福井県,77,0,0,77,292,0.264,0.000,0.264
fresh_food,福岡県,327,0,0,327,2166,0.151,0.000,0.151
fresh_food,福島県,158,0,0,158,649,0.243,0.000,0.243
fresh_food,秋田県,204,0,0,204,391,0.522,0.000,0.522
fresh_food,群馬県,138,0,0,138,508,0.272,0.000,0.272
fresh_food,茨城県,186,0,0,186,807,0.230,0.000,0.230
fresh_food,長崎県,79,0,0,79,687,0.115,0.000,0.115
fresh_food,長野県,159,0,0,159,571,0.278,0.000,0.278
fresh_food,青森県,179,0,0,179,502,0.357,0.000,0.357
fresh_food,静岡県,345,0,0,345,1121,0.308,0.000,0.308
fresh_food,香川県,75,0,0,75,281,0.267,0.000,0.267
fresh_food,高知県,46,0,0,46,405,0.114,0.000,0.114
fresh_food,鳥取県,32,0,0,32,145,0.221,0.000,0.221
fresh_food,鹿児島県,131,0,0,131,714,0.183,0.000,0.183
supermarket,三重県,453,7,1,454,338,1.340,0.021,1.343
supermarket,京都府,736,47,10,746,464,1.586,0.101,1.608
supermarket,佐賀県,214,0,0,214,179,1.196,0.000,1.196
supermarket,兵庫県,1205,41,4,1209,940,1.282,0.044,1.286
supermarket,北海道,1391,139,25,1416,1023,1.360,0.136,1.384
supermarket,千葉県,1316,52,10,1326,846,1.556,0.061,1.567
supermarket,和歌山県,314,1,0,314,246,1.276,0.004,1.276
supermarket,埼玉県,1462,60,10,1472,907,1.612,0.066,1.623
supermarket,大分県,343,0,0,343,282,1.216,0.000,1.216
supermarket,大阪府,1817,187,34,1851,1178,1.542,0.159,1.571
supermarket,奈良県,318,10,0,318,213,1.493,0.047,1.493
supermarket,宮城県,604,2,1,605,401,1.506,0.005,1.509
supermarket,宮崎県,311,0,0,311,315,0.987,0.000,0.987
supermarket,富山県,239,16,5,244,201,1.189,0.080,1.214
supermarket,山口県,325,0,0,325,315,1.032,0.000,1.032
supermarket,山形県,359,1,1,360,270,1.330,0.004,1.333
supermarket,山梨県,242,8,3,245,181,1.337,0.044,1.354
supermarket,岐阜県,490,81,10,500,411,1.192,0.197,1.217
supermarket,岡山県,454,1,0,454,463,0.981,0.002,0.981
supermarket,岩手県,344,0,0,344,337,1.021,0.000,1.021
